매물ID,사이트,주소,세부 URL,유형,보증금,월세,관리비,관리비 포함,면적(m²),면적(평),형식,층수
44450633,직방,금천구 가산동 142-20,https://www.zigbang.com/home/villa/items/44450633,매매,,0,3,,33.18,10.04,투룸,2층 / 11층
44507927,직방,금천구 가산동 142-62,https://www.zigbang.com/home/villa/items/44507927,월세,2000.0,80,10,"인터넷사용료, TV사용료, 일반(공용)관리비, 기타관리비",32.5,9.83,투룸,6층 / 9층
44507994,직방,금천구 가산동 142-62,https://www.zigbang.com/home/villa/items/44507994,월세,2000.0,80,10,"인터넷사용료, TV사용료, 일반(공용)관리비, 기타관리비",32.5,9.83,투룸,6층 / 9층
44362852,직방,금천구 가산동 142-18,https://www.zigbang.com/home/villa/items/44362852,월세,2000.0,90,9,,18.45,5.58,투룸,11층 / 11층
44516619,직방,구로구 가리봉동 136-75,https://www.zigbang.com/home/villa/items/44516619,월세,4000.0,115,8,"인터넷사용료, TV사용료, 일반(공용)관리비",29.55,8.94,투룸,2층 / 6층
44266928,직방,구로구 가리봉동 134-39,https://www.zigbang.com/home/villa/items/44266928,전세,12000.0,0,0,,45.24,13.69,투룸,4층 / 4층
44103752,직방,금천구 가산동 142-18,https://www.zigbang.com/home/oneroom/items/44103752,월세,2000.0,100,0,,27.63,8.36,분리형원룸,11층 / 11층
44361321,직방,금천구 가산동 142-18,https://www.zigbang.com/home/oneroom/items/44361321,전세,16000.0,0,0,"일반(공용)관리비, 기타관리비",16.05,4.86,오픈형원룸,6층 / 11층
44488528,직방,금천구 가산동 142-18,https://www.zigbang.com/home/oneroom/items/44488528,전세,20000.0,0,0,,18.45,5.58,분리형원룸,3층 / 11층
44488947,직방,금천구 가산동 142-18,https://www.zigbang.com/home/oneroom/items/44488947,월세,2000.0,90,0,,18.45,5.58,분리형원룸,9층 / 11층
44488981,직방,금천구 가산동 142-18,https://www.zigbang.com/home/oneroom/items/44488981,월세,2000.0,70,0,,16.05,4.86,오픈형원룸,9층 / 11층
44519579,직방,금천구 가산동 142-18,https://www.zigbang.com/home/oneroom/items/44519579,월세,2000.0,70,0,,16.05,4.86,오픈형원룸,11층 / 11층
44493253,직방,금천구 가산동 142-19,https://www.zigbang.com/home/oneroom/items/44493253,월세,40.0,40,10,"가스사용료, 수도료, 인터넷사용료, 일반(공용)관리비, 기타관리비",17.0,5.14,오픈형원룸,5층 / 8층
44505530,직방,구로구 가리봉동 136-98,https://www.zigbang.com/home/oneroom/items/44505530,월세,200.0,37,6,"수도료, 인터넷사용료, TV사용료, 난방비, 일반(공용)관리비, 기타관리비",19.8,5.99,오픈형원룸,3층 / 4층
44183997,직방,구로구 가리봉동 135-66,https://www.zigbang.com/home/oneroom/items/44183997,월세,100.0,38,7,"수도료, 인터넷사용료, TV사용료",19.83,6.0,분리형원룸,7층 / 10층
44287018,직방,구로구 가리봉동 135-66,https://www.zigbang.com/home/oneroom/items/44287018,월세,100.0,38,7,"수도료, 인터넷사용료, TV사용료",16.53,5.0,오픈형원룸,3층 / 9층
44380000,직방,구로구 가리봉동 135-66,https://www.zigbang.com/home/oneroom/items/44380000,월세,100.0,48,8,"수도료, 인터넷사용료, TV사용료, 일반(공용)관리비, 기타관리비",18.6,5.63,분리형원룸,5층 / 9층
44489366,직방,구로구 가리봉동 135-66,https://www.zigbang.com/home/oneroom/items/44489366,월세,100.0,38,7,"수도료, 인터넷사용료, TV사용료",16.53,5.0,오픈형원룸,7층 / 9층
44531184,직방,구로구 가리봉동 135-66,https://www.zigbang.com/home/oneroom/items/44531184,월세,100.0,38,7,"수도료, 인터넷사용료, TV사용료, 일반(공용)관리비",16.53,5.0,분리형원룸,4층 / 9층
44512699,직방,구로구 가리봉동 136-66,https://www.zigbang.com/home/oneroom/items/44512699,월세,200.0,42,7,"수도료, 인터넷사용료, TV사용료, 일반(공용)관리비, 기타관리비",19.83,6.0,분리형원룸,3층 / 3층
44370554,직방,구로구 가리봉동 136-49,https://www.zigbang.com/home/oneroom/items/44370554,월세,100.0,20,10,"인터넷사용료, TV사용료, 난방비, 일반(공용)관리비, 기타관리비",13.22,4.0,오픈형원룸,2층 / 2층
44397840,직방,구로구 가리봉동 136-51,https://www.zigbang.com/home/oneroom/items/44397840,월세,100.0,31,9,"인터넷사용료, TV사용료, 일반(공용)관리비, 기타관리비",16.53,5.0,오픈형원룸,2층 / 2층
44478182,직방,구로구 가리봉동 136-62,https://www.zigbang.com/home/oneroom/items/44478182,월세,500.0,43,7,"수도료, 인터넷사용료, TV사용료",16.5,4.99,오픈형원룸,2층 / 4층
44531194,직방,구로구 가리봉동 136-60,https://www.zigbang.com/home/oneroom/items/44531194,월세,100.0,40,8,"수도료, 인터넷사용료, TV사용료, 일반(공용)관리비",18.18,5.5,분리형원룸,3층 / 4층
44084652,직방,구로구 가리봉동 136-2,https://www.zigbang.com/home/oneroom/items/44084652,월세,100.0,25,8,"수도료, 인터넷사용료, 일반(공용)관리비, 기타관리비",19.83,6.0,오픈형원룸,반지하층 / 4층
44466898,직방,구로구 가리봉동 136-40,https://www.zigbang.com/home/oneroom/items/44466898,월세,1000.0,53,9,"수도료, 인터넷사용료, TV사용료, 일반(공용)관리비, 기타관리비",20.0,6.05,분리형원룸,2층 / 5층
